Date,Close,High,Low,Open
2024-01-01 00:00:00,2062.81,2063.22,2062.76,2062.94
2024-01-01 00:30:00,2062.81,2063.22,2062.76,2062.94
2024-01-01 01:00:00,2062.81,2063.22,2062.76,2062.94
2024-01-01 01:30:00,2062.81,2063.22,2062.76,2062.94
2024-01-01 02:00:00,2062.81,2063.22,2062.76,2062.94
2024-01-01 02:30:00,2062.81,2063.22,2062.76,2062.94
2024-01-01 03:30:00,2062.81,2063.22,2062.76,2062.94
2024-01-01 04:00:00,2062.81,2063.22,2062.76,2062.94
2024-01-01 04:30:00,2062.81,2063.22,2062.76,2062.94
2024-01-01 05:00:00,2062.81,2063.22,2062.76,2062.94
2024-01-01 05:30:00,2062.81,2063.22,2062.76,2062.94
2024-01-01 06:00:00,2062.81,2063.22,2062.76,2062.94
2024-01-01 06:30:00,2062.81,2063.22,2062.76,2062.94
2024-01-01 07:00:00,2066.25,2066.25,2065.78,2065.85
2024-01-01 07:30:00,2066.25,2066.25,2065.78,2065.85
2024-01-01 08:00:00,2066.25,2066.25,2065.78,2065.85
2024-01-01 08:30:00,2066.25,2066.25,2065.78,2065.85
2024-01-01 09:00:00,2066.25,2066.25,2065.78,2065.85
2024-01-01 09:30:00,2066.25,2066.25,2065.78,2065.85
2024-01-01 10:00:00,2066.25,2066.25,2065.78,2065.85
2024-01-01 10:30:00,2066.25,2066.25,2065.78,2065.85
2024-01-01 11:00:00,2066.25,2066.25,2065.78,2065.85
2024-01-01 11:30:00,2066.25,2066.25,2065.78,2065.85
2024-01-01 12:00:00,2066.25,2066.25,2065.78,2065.85
2024-01-01 12:30:00,2066.25,2066.25,2065.78,2065.85
2024-01-01 13:00:00,2066.25,2066.25,2065.78,2065.85
2024-01-01 13:30:00,2066.25,2066.25,2065.78,2065.85
2024-01-01 14:00:00,2066.25,2066.25,2065.78,2065.85
2024-01-01 14:30:00,2066.25,2066.25,2065.78,2065.85
2024-01-01 15:00:00,2066.25,2066.25,2065.78,2065.85
2024-01-01 15:30:00,2066.25,2066.25,2065.78,2065.85
2024-01-01 16:00:00,2066.25,2066.25,2065.78,2065.85
2024-01-01 16:30:00,2066.25,2066.25,2065.78,2065.85
2024-01-01 17:00:00,2066.25,2066.25,2065.78,2065.85
2024-01-01 17:30:00,2066.25,2066.25,2065.78,2065.85
2024-01-01 18:00:00,2066.25,2066.25,2065.78,2065.85
2024-01-01 18:30:00,2066.25,2066.25,2065.78,2065.85
2024-01-01 19:00:00,2066.25,2066.25,2065.78,2065.85
2024-01-01 19:30:00,2066.25,2066.25,2065.78,2065.85
2024-01-01 20:00:00,2066.25,2066.25,2065.78,2065.85
2024-01-01 20:30:00,2066.25,2066.25,2065.78,2065.85
2024-01-01 21:00:00,2066.25,2066.25,2065.78,2065.85
2024-01-01 21:30:00,2066.25,2066.25,2065.78,2065.85
2024-01-01 22:00:00,2066.25,2066.25,2065.78,2065.85
2024-01-01 22:30:00,2066.25,2066.25,2065.78,2065.85
2024-01-01 23:00:00,2066.25,2066.25,2065.78,2065.85
2024-01-01 23:30:00,2066.25,2066.25,2065.78,2065.85
2024-01-02 00:00:00,2066.25,2066.25,2065.78,2065.85
2024-01-02 00:30:00,2066.25,2066.25,2065.78,2065.85
2024-01-02 01:00:00,2066.25,2066.25,2065.78,2065.85
2024-01-02 01:30:00,2066.25,2066.25,2065.78,2065.85
2024-01-02 02:00:00,2066.25,2066.25,2065.78,2065.85
2024-01-02 02:30:00,2066.25,2066.25,2065.78,2065.85
2024-01-02 03:00:00,2066.25,2066.25,2065.78,2065.85
2024-01-02 03:30:00,2066.25,2066.25,2065.78,2065.85
2024-01-02 04:00:00,2066.25,2066.25,2065.78,2065.85
2024-01-02 04:30:00,2066.25,2066.25,2065.78,2065.85
2024-01-02 05:00:00,2066.25,2066.25,2065.78,2065.85
2024-01-02 05:30:00,2066.25,2066.25,2065.78,2065.85
2024-01-02 06:00:00,2066.25,2066.25,2065.78,2065.85
2024-01-02 06:30:00,2066.25,2066.25,2065.78,2065.85
2024-01-02 07:00:00,2066.25,2066.25,2065.78,2065.85
2024-01-02 07:30:00,2066.25,2066.25,2065.78,2065.85
2024-01-02 08:00:00,2066.25,2066.25,2065.78,2065.85
2024-01-02 08:30:00,2066.25,2066.25,2065.78,2065.85
2024-01-02 09:00:00,2065.88,2065.88,2064.87,2065.55
2024-01-02 09:30:00,2065.54,2065.54,2063.89,2063.89
2024-01-02 10:00:00,2063.87,2064.69,2063.04,2063.08
2024-01-02 10:30:00,2063.1,2065.6,2063.1,2065.47
2024-01-02 11:00:00,2065.49,2068.59,2065.38,2068.43
2024-01-02 11:30:00,2068.44,2068.46,2066.96,2066.96
2024-01-02 12:00:00,2066.95,2066.95,2064.79,2066.64
2024-01-02 12:30:00,2066.66,2068.0,2066.24,2067.7
2024-01-02 13:00:00,2067.72,2069.86,2067.24,2069.8
2024-01-02 13:30:00,2069.79,2070.01,2069.1,2069.34
2024-01-02 14:00:00,2069.38,2070.1,2069.38,2069.79
2024-01-02 14:30:00,2069.77,2070.21,2069.34,2069.47
2024-01-02 15:00:00,2069.49,2071.48,2069.49,2071.48
2024-01-02 15:30:00,2071.48,2074.24,2071.31,2074.24
2024-01-02 16:00:00,2074.26,2075.56,2073.71,2075.56
2024-01-02 16:30:00,2075.59,2076.07,2074.35,2074.36
2024-01-02 17:00:00,2074.34,2075.91,2074.33,2075.41
2024-01-02 17:30:00,2075.41,2075.5,2074.6,2074.6
2024-01-02 18:00:00,2074.5,2074.5,2072.95,2072.95
2024-01-02 18:30:00,2072.94,2073.86,2072.56,2073.26
2024-01-02 19:00:00,2073.27,2075.22,2073.27,2074.8
2024-01-02 19:30:00,2074.79,2078.31,2074.79,2077.83
2024-01-02 20:00:00,2077.78,2077.78,2074.56,2075.11
2024-01-02 20:30:00,2075.09,2076.15,2075.01,2076.05
2024-01-02 21:00:00,2076.04,2076.05,2073.97,2075.05
2024-01-02 21:30:00,2075.07,2075.08,2069.3,2069.3
2024-01-02 22:00:00,2069.3,2069.3,2066.41,2066.41
2024-01-02 22:30:00,2066.39,2067.78,2066.22,2067.76
2024-01-02 23:00:00,2067.77,2068.18,2066.08,2067.41
2024-01-02 23:30:00,2067.42,2069.33,2067.01,2067.01
2024-01-03 00:00:00,2066.99,2066.99,2065.59,2066.67
2024-01-03 00:30:00,2066.65,2068.75,2066.46,2068.73
2024-01-03 01:00:00,2068.85,2069.43,2065.05,2065.06
2024-01-03 01:30:00,2065.07,2065.07,2058.46,2058.72
2024-01-03 02:00:00,2058.77,2066.01,2058.77,2065.84
2024-01-03 02:30:00,2065.8,2066.42,2064.87,2066.33
2024-01-03 03:00:00,2066.32,2066.63,2063.84,2064.16
2024-01-03 03:30:00,2064.15,2064.84,2062.8,2062.8
2024-01-03 04:00:00,2062.8,2064.55,2062.16,2064.55
2024-01-03 04:30:00,2064.57,2064.57,2061.17,2061.17
2024-01-03 05:00:00,2061.15,2061.99,2061.13,2061.3
2024-01-03 05:30:00,2061.3,2061.84,2060.96,2060.96
2024-01-03 06:00:00,2060.95,2061.19,2060.18,2060.18
2024-01-03 06:30:00,2060.14,2060.14,2058.64,2058.64
2024-01-03 07:00:00,2058.6,2058.8,2058.44,2058.69
2024-01-03 07:30:00,2058.68,2059.13,2058.65,2059.04
2024-01-03 08:00:00,2059.04,2059.04,2058.99,2058.99
2024-01-03 08:30:00,2058.99,2058.99,2058.99,2058.99
2024-01-03 09:00:00,2058.99,2059.33,2058.92,2059.33
